# ----------------------------------------
# kaijo-fishing.com
# weekly-report-Weekly-analyss
# 20260606-20260613
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率
,,,440,439,538,50.283095723014256,0.6334012219959266,0.3665987780040733,375,374,459,54.318396226415096,0.6839622641509434,0.3160377358490566,274,273,331,38.31103678929766,0.5986622073578596,0.4013377926421405,163,163,204,67.85106382978724,0.6861702127659575,0.31382978723404253,総計
【兵庫県】姫路市立遊漁センター｜※2024年休園：瀬戸内・福泊の桟橋海釣り（記録・アーカイブ） — 海上アングラー,/blog/himeji-city-fishing-center/,new,33,33,35,29.575757575757574,0.6363636363636364,0.36363636363636365,32,32,34,28.5625,0.625,0.375,29,29,29,28.586206896551722,0.5862068965517241,0.41379310344827586,4,4,6,36.75,1,0
【極味】イサキ攻略：至高の「皮霜造り」と「白子・真子」！初夏の味覚を活かす究極レシピ — 海上アングラー,/blog/tactics/fish-strategy/isaki/gourmet/,new,13,13,21,48.888888888888886,0.5,0.5,11,11,17,54.5625,0.4375,0.5625,11,11,19,46.9375,0.4375,0.5625,2,2,2,64.5,1,0
【休止中】勇払マリーナ海上釣り堀｜北海道初！幻の海上釣り堀の記録と今後の展望 — 海上アングラー,/blog/yuharai-pond/,new,12,12,13,26.615384615384617,0.5384615384615384,0.46153846153846156,12,12,13,26.615384615384617,0.5384615384615384,0.46153846153846156,8,8,9,30,0.5555555555555556,0.4444444444444444,4,4,4,19,0.5,0.5
"【高知県】つり筏 深浦｜3,000円でトイレ・屋根・コーヒー付き！快適すぎる筏釣りパラダイス — 海上アングラー",/blog/tsuri-ikada-fukaura/,new,11,11,13,37,0.8333333333333334,0.16666666666666666,10,10,12,40.36363636363637,0.9090909090909091,0.09090909090909091,10,10,12,35.63636363636363,0.8181818181818182,0.18181818181818182,1,1,1,52,1,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,new,12,12,12,29.083333333333332,0.5833333333333334,0.4166666666666667,6,6,6,56.5,1,0,3,3,3,0,0,1,9,9,9,38.77777777777778,0.7777777777777778,0.2222222222222222
【閉業】海釣り公園みかた｜釣ってその場でBBQ！食育にも最適な体験型釣り堀（福井県若狭町） — 海上アングラー,/blog/sea-fishing-park-mikata/,new,10,10,10,32.3,0.8,0.2,9,9,9,32.55555555555556,0.7777777777777778,0.2222222222222222,4,4,4,18.75,0.5,0.5,6,6,6,41.333333333333336,1,0
【京都府】舞鶴親海公園｜入場無料！365日楽しめる舞鶴湾のファミリー釣り場 — 海上アングラー,/blog/maizuru-shinkai-park/,new,9,9,9,36.111111111111114,0.8888888888888888,0.1111111111111111,9,9,9,36.111111111111114,0.8888888888888888,0.1111111111111111,9,9,9,36.111111111111114,0.8888888888888888,0.1111111111111111,0,0,0,0,0,0
【大阪府】南港魚つり園護岸｜入場無料！市内から30分で楽しめる本格海釣りスポット — 海上アングラー,/blog/nanko-fishing-park/,new,9,9,10,22.1,0.6,0.4,8,8,9,21.11111111111111,0.5555555555555556,0.4444444444444444,8,8,9,13.777777777777779,0.5555555555555556,0.4444444444444444,1,1,1,97,1,0
【2026年最新版】関西・西日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,/blog/fishing-facility/west-japan/,new,8,8,10,20.875,0.875,0.125,8,8,10,20.875,0.875,0.125,0,0,0,0,0,0,8,8,10,20.875,0.875,0.125
【鹿児島県】桜島海づり公園｜活火山を望む絶景釣り場！200円で味わう非日常 — 海上アングラー,/blog/sakurajima-sea-fishing-park/,new,8,8,8,26.75,0.625,0.375,6,6,6,35.666666666666664,0.6666666666666666,0.3333333333333333,4,4,4,5.75,0.25,0.75,4,4,4,47.75,1,0
