# ----------------------------------------
# kaijo-fishing.com
# weekly-report-Weekly-analyss
# 20260613-20260620
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率
,,,499,492,586,43.41856060606061,0.6136363636363636,0.38636363636363635,385,380,463,50.898058252427184,0.7330097087378641,0.2669902912621359,234,234,275,45.55020080321285,0.5783132530120482,0.42168674698795183,258,251,304,40.586715867158674,0.6457564575645757,0.35424354243542433,総計
【兵庫県】姫路市立遊漁センター｜※2024年休園：瀬戸内・福泊の桟橋海釣り（記録・アーカイブ） — 海上アングラー,/blog/himeji-city-fishing-center/,new,23,23,26,21.043478260869566,0.6086956521739131,0.391304347826087,22,22,24,22,0.5909090909090909,0.4090909090909091,7,7,8,43.285714285714285,1,0,16,16,18,11.3125,0.4375,0.5625
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,new,17,17,17,5.823529411764706,0.5882352941176471,0.4117647058823529,7,7,7,5.142857142857143,1,0,14,14,14,4.071428571428571,0.5714285714285714,0.42857142857142855,3,3,3,14,0.6666666666666666,0.3333333333333333
【休止中】勇払マリーナ海上釣り堀｜北海道初！幻の海上釣り堀の記録と今後の展望 — 海上アングラー,/blog/yuharai-pond/,new,12,12,13,38.76923076923077,0.7692307692307693,0.23076923076923078,12,12,13,38.76923076923077,0.7692307692307693,0.23076923076923078,0,0,0,0,0,0,12,12,13,38.76923076923077,0.7692307692307693,0.23076923076923078
【大阪府】海釣ぽーと田尻｜雨でも安心！橋の下にある全天候型・放流満載の釣り堀 — 海上アングラー,/blog/umizuri-port-tajiri/,new,10,10,10,41.9,0.8,0.2,10,10,10,41.9,0.8,0.2,1,1,1,55,1,0,9,9,9,40.44444444444444,0.7777777777777778,0.2222222222222222
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/blog/itoman-ikada-tsurigu-no-zousan/,new,10,10,13,23.636363636363637,0.6363636363636364,0.36363636363636365,10,10,13,23.636363636363637,0.6363636363636364,0.36363636363636365,3,3,3,11,0.6666666666666666,0.3333333333333333,7,7,10,28.375,0.625,0.375
【大阪府】南港魚つり園護岸｜入場無料！市内から30分で楽しめる本格海釣りスポット — 海上アングラー,/blog/nanko-fishing-park/,new,10,10,12,63.5,0.9,0.1,9,9,10,70.55555555555556,0.8888888888888888,0.1111111111111111,1,1,1,19,1,0,9,9,11,68.44444444444444,0.8888888888888888,0.1111111111111111
【宮崎県】志布志湾大黒イルカランド（天然釣堀）｜イルカショーも釣りも！釣った魚は全買取の「確実」な釣り堀 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land/,new,8,8,10,40,0.6666666666666666,0.3333333333333333,7,7,9,45,0.75,0.25,0,0,0,0,0,0,7,7,9,36.875,0.625,0.375
釣果を分ける「ハリス」の選び方｜フロロカーボンの号数と長さの基準 — 海上アングラー,/blog/tactics/gear/harris-importance/,new,7,7,8,52,0.8571428571428571,0.14285714285714285,7,7,8,52,0.8571428571428571,0.14285714285714285,5,5,5,70.4,1,0,2,2,3,6,0.5,0.5
