# ----------------------------------------
# kaijo-fishing.com
# Google オーガニック検索レポート: ランディング ページ + クエリ文字列-タブ: 3
# 20260613-20260620
# ----------------------------------------

ランディング ページ + クエリ文字列,Google のオーガニック検索のクリック数,Google のオーガニック検索の表示回数,Google のオーガニック検索のクリック率,Google のオーガニック検索の平均掲載順位,アクティブ ユーザー,エンゲージのあったセッション数,エンゲージメント率,イベント数,キーイベント
,134,3555,0.03769338959212377,12.308016877637131,226,154,0.6311475409836066,989,0,総計
/blog/himeji-city-fishing-center/,13,164,0.07926829268292683,5.079268292682927,13,6,0.46153846153846156,50,0
/blog/nanko-fishing-park/,3,132,0.022727272727272728,10.734848484848484,4,3,0.75,20,0
/blog/itoman-ikada-tsurigu-no-zousan/,5,101,0.04950495049504951,7.574257425742574,7,3,0.375,26,0
/blog/kaijo-tsuribori-at-sea/,2,80,0.025,11.575,2,2,1,8,0
/blog/family-tsuribori-tsutteminde/,2,79,0.02531645569620253,10.708860759493671,2,1,0.5,8,0
/fishing-facility/east-japan/,2,74,0.02702702702702703,14.986486486486486,3,3,1,13,0
/blog/yuharai-pond/,9,70,0.12857142857142856,8.814285714285713,12,10,0.7692307692307693,49,0
/blog/mukai-pearl-marine/,2,67,0.029850746268656716,9.701492537313433,2,0,0,6,0
/blog/maizuru-shinkai-park/,0,65,0,10.507692307692308,0,0,0,0,0
/blog/hiruga-sea-fishing-pond/,2,58,0.034482758620689655,16.29310344827586,2,1,0.5,7,0
/blog/column/trivia/tsuyu-rainy-day-strategy/,2,56,0.03571428571428571,9.232142857142858,4,3,0.75,15,0
/fishing-facility/west-japan/osaka/,0,54,0,38,0,0,0,0,0
/blog/umizuri-port-tajiri/,4,53,0.07547169811320754,8.679245283018869,9,7,0.7777777777777778,34,0
/blog/tsuri-ikada-fukaura/,2,47,0.0425531914893617,9.042553191489361,3,3,0.75,14,0
/blog/shibushi-bay-daikoku-dolphin-land/,7,46,0.15217391304347827,6.913043478260869,7,6,0.75,33,0
/blog/kamoike-sea-fishing-park/,2,43,0.046511627906976744,14.279069767441861,6,4,0.6666666666666666,22,0
/blog/column/ranking/kansai/,3,42,0.07142857142857142,10.571428571428571,4,3,0.75,16,0
/tactics/fish-strategy/shimaji/,0,41,0,7.219512195121951,0,0,0,0,0
/blog/shinojima-tsuri-tengoku/,0,39,0,13.23076923076923,0,0,0,0,0
/blog/kariyawan-fishing-center/,5,38,0.13157894736842105,16.973684210526315,3,3,0.75,15,0
/tactics/fish-strategy/kue/gourmet/,0,35,0,9.028571428571428,0,0,0,0,0
/column/trivia/august-dead-bait-technique/,1,34,0.029411764705882353,6.970588235294118,0,0,0,0,0
/blog/seapark-nyu/,1,33,0.030303030303030304,13.090909090909092,2,2,1,9,0
/blog/kaijo-tsuribori-kaiyu/,0,32,0,10.34375,1,1,1,4,0
/blog/tactics/gear/harris-importance/,1,32,0.03125,11.53125,5,4,0.8,25,0
/blog/obama-city-fishing-coop-raft/,1,31,0.03225806451612903,15.387096774193548,3,2,0.6666666666666666,15,0
