# ----------------------------------------
# kaijo-fishing.com
# 週報PPDCA用-1week-自由形式 1
# 20260704-20260711
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,合計,合計,合計,合計
ページ タイトル,ランディング ページ,セッションの参照元 / メディア,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント
,,,631,582,0.48335974643423135,30.118858954041205,0,631,582,0.48335974643423135,30.118858954041205,0,総計
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/blog/itoman-ikada-tsurigu-no-zousan,google / organic,15,13,0.6,29.6,0,15,13,0.6,29.6,0
Error 404 — 海上アングラー,/blog/himeji-city-fishing-center,google / organic,14,14,0.2857142857142857,1.9285714285714286,0,14,14,0.2857142857142857,1.9285714285714286,0
【兵庫県】姫路市立遊漁センター｜※2024年休園：瀬戸内・福泊の桟橋海釣り（記録・アーカイブ） — 海上アングラー,/blog/himeji-city-fishing-center,google / organic,11,9,0.5454545454545454,22.545454545454547,0,11,9,0.5454545454545454,22.545454545454547,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,(direct) / (none),10,10,0.2,13,0,10,10,0.2,13,0
Error 404 — 海上アングラー,/blog/itoman-ikada-tsurigu-no-zousan,google / organic,8,6,0,1.375,0,8,6,0,1.375,0
Error 404 — 海上アングラー,/blog/waita-sea-fishing-pier,google / organic,8,7,0.125,2,0,8,7,0.125,2,0
Error 404 — 海上アングラー,/blog/wakasa-takahama-sea-fishing-park,google / organic,8,5,0.125,1.125,0,8,5,0.125,1.125,0
Error 404 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land,google / organic,7,7,0.2857142857142857,3.2857142857142856,0,7,7,0.2857142857142857,3.2857142857142856,0
Error 404 — 海上アングラー,/fishing-facility/west-japan/mie/tsuribori-denpachiya,(direct) / (none),7,7,0,0,0,7,7,0,0,0
【宮崎県】志布志湾大黒イルカランド（天然釣堀）｜イルカショーも釣りも！釣った魚は全買取の「確実」な釣り堀 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land,google / organic,6,5,0.8333333333333334,53.166666666666664,0,6,5,0.8333333333333334,53.166666666666664,0
【福岡県】脇田（わいた）海釣り桟橋｜手ぶらセット800円！響灘のコスパ最強スポット — 海上アングラー,/blog/waita-sea-fishing-pier,google / organic,6,5,0.8333333333333334,55.666666666666664,0,6,5,0.8333333333333334,55.666666666666664,0
Error 404 — 海上アングラー,/blog/seapark-nyu,google / organic,5,4,0.4,39.6,0,5,4,0.4,39.6,0
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/blog/column/ranking/kansai,google / organic,5,5,0.8,17.6,0,5,5,0.8,17.6,0
【休止中】勇払マリーナ海上釣り堀｜北海道初！幻の海上釣り堀の記録と今後の展望 — 海上アングラー,/blog/yuharai-pond,google / organic,5,5,0.4,14.6,0,5,5,0.4,14.6,0
【大阪府】南港魚つり園護岸｜入場無料・予約不要！市内30分の本格海釣りスポット — 海上アングラー,/blog/nanko-fishing-park,yahoo / organic,5,5,1,38,0,5,5,1,38,0
【福井県】シーパーク丹生｜手ぶらでGO！釣った真鯛をその場でBBQ！究極の「食育」体験 — 海上アングラー,/blog/seapark-nyu,yahoo / organic,5,5,1,54.6,0,5,5,1,54.6,0
釣り座は選べる？有利な場所の科学。釣り堀の「場所選び」完全ガイド — 海上アングラー,/column/trivia/seat-selection-strategy,google / organic,5,5,1,50.2,0,5,5,1,50.2,0
難敵イシダイ（石鯛）攻略！海上釣り堀で高級魚を手にする究極のエサと技 — 海上アングラー,/blog/ishidai-strategy,google / organic,5,3,0.2,0.2,0,5,3,0.2,0.2,0
Error 404 — 海上アングラー,/blog/himeji-city-fishing-center,yahoo / organic,4,4,0,1.75,0,4,4,0,1.75,0
Error 404 — 海上アングラー,/blog/matsunase-fishing-park,google / organic,4,3,0.25,6.25,0,4,3,0.25,6.25,0
Error 404 — 海上アングラー,/blog/wakayama-marinacity-fishing-park,google / organic,4,4,0.25,1.25,0,4,4,0.25,1.25,0
【2026年最新版】関東・東日本の海上釣り堀ランキングTOP3｜全9施設比較 — 海上アングラー,/fishing-facility/east-japan,bing / organic,4,4,0.75,14,0,4,4,0.75,14,0
【三重県】賢島フィッシングパーク海遊苑｜駅チカ＆手ぶら！釣って即食べる極上体験 — 海上アングラー,/blog/kashikojima-fishing-park-kaiyuen,google / organic,4,4,0.5,72.75,0,4,4,0.5,72.75,0
【兵庫県】姫路市立遊漁センター｜※2024年休園：瀬戸内・福泊の桟橋海釣り（記録・アーカイブ） — 海上アングラー,/blog/himeji-city-fishing-center,yahoo / organic,4,4,1,34.5,0,4,4,1,34.5,0
【宮崎県】志布志湾大黒イルカランド（天然釣堀）｜イルカショーも釣りも！釣った魚は全買取の「確実」な釣り堀 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land,yahoo / organic,4,4,0.75,39,0,4,4,0.75,39,0
【理屈】マダイの「視覚」と「色彩認識」の科学：なぜ海上釣り堀で「黄色」と「赤」が特効薬なのか？ — 海上アングラー,/tactics/fish-strategy/madai/theory,(direct) / (none),4,4,0,0,0,4,4,0,0,0
"【静岡県】フィッシングパーク土肥｜1,500円で手ぶら海釣り体験！西伊豆の穴場 — 海上アングラー",/fishing-facility/fishing-park-toi,bing / organic,4,4,1,113.5,0,4,4,1,113.5,0
