# ----------------------------------------
# kaijo-fishing.com
# 週報PPDCA用-1week-自由形式 1
# 20260815-20260912
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,合計,合計,合計,合計
ページ タイトル,ランディング ページ,セッションの参照元 / メディア,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント
,,,1996,1781,0.6768537074148296,56.266032064128254,0,1996,1781,0.6768537074148296,56.266032064128254,0,総計
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/fishing-facility/itoman-ikada-tsurigu-no-zousan,google / organic,74,69,0.7972972972972973,75.86486486486487,0,74,69,0.7972972972972973,75.86486486486487,0
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/column/ranking/kansai,google / organic,44,43,0.7954545454545454,37.59090909090909,0,44,43,0.7954545454545454,37.59090909090909,0
【宮崎県】志布志湾大黒イルカランド（天然釣堀）｜イルカショーも釣りも！釣った魚は全買取の「確実」な釣り堀 — 海上アングラー,/fishing-facility/shibushi-bay-daikoku-dolphin-land,google / organic,36,32,0.7222222222222222,54.138888888888886,0,36,32,0.7222222222222222,54.138888888888886,0
【閉業】海釣り公園みかた｜釣ってその場でBBQ！食育にも最適な体験型釣り堀（福井県若狭町） — 海上アングラー,/fishing-facility/sea-fishing-park-mikata,google / organic,36,35,0.7777777777777778,29.72222222222222,0,36,35,0.7777777777777778,29.72222222222222,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,(direct) / (none),34,34,0.38235294117647056,2.176470588235294,0,34,34,0.38235294117647056,2.176470588235294,0
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/column/ranking/kansai,bing / organic,33,31,0.8484848484848485,27.939393939393938,0,33,31,0.8484848484848485,27.939393939393938,0
【兵庫県】姫路市立遊漁センター｜2024年休園・跡地情報と今も釣れる近隣3施設まとめ — 海上アングラー,/fishing-facility/himeji-city-fishing-center,google / organic,31,30,0.6451612903225806,22.677419354838708,0,31,30,0.6451612903225806,22.677419354838708,0
Error 404 — 海上アングラー,/2025/07/chubu/chubu-tokai/denpachi-mie,(direct) / (none),30,30,0,0.06666666666666667,0,30,30,0,0.06666666666666667,0
【閉業】海釣り公園みかた｜釣ってその場でBBQ！食育にも最適な体験型釣り堀（福井県若狭町） — 海上アングラー,/fishing-facility/sea-fishing-park-mikata,yahoo / organic,29,29,0.7931034482758621,45.03448275862069,0,29,29,0.7931034482758621,45.03448275862069,0
【福井県】あかぐり海釣公園｜絶景の桟橋釣り場！サビキからエギングまで楽しめる若狭湾の聖地 — 海上アングラー,/fishing-facility/akaguri-sea-fishing-park,bing / organic,26,24,0.8846153846153846,38.84615384615385,0,26,24,0.8846153846153846,38.84615384615385,0
【2026年最新版】関東・東日本の海上釣り堀ランキングTOP3｜全9施設比較 — 海上アングラー,/fishing-facility/east-japan,bing / organic,22,22,0.7727272727272727,23.40909090909091,0,22,22,0.7727272727272727,23.40909090909091,0
"【静岡県】フィッシングパーク土肥｜1,500円で手ぶら海釣り体験！西伊豆の穴場 — 海上アングラー",/fishing-facility/fishing-park-toi,bing / organic,22,18,0.9090909090909091,77.45454545454545,0,22,18,0.9090909090909091,77.45454545454545,0
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/fishing-facility/itoman-ikada-tsurigu-no-zousan,yahoo / organic,21,18,0.7142857142857143,50.04761904761905,0,21,18,0.7142857142857143,50.04761904761905,0
遠征釣行用クーラーボックスの選び方｜宅配便サイズ規定・保冷力・容量を徹底比較 — 海上アングラー,/column/travel/cooler-box-guide,google / organic,20,15,0.5,40.4,0,20,15,0.5,40.4,0
【京都府】舞鶴親海公園｜入場無料！365日楽しめる舞鶴湾のファミリー釣り場 — 海上アングラー,/fishing-facility/maizuru-shinkai-park,google / organic,18,17,0.5,21.38888888888889,0,18,17,0.5,21.38888888888889,0
釣った魚の配送完全ガイド｜クール便・発泡スチロールセット・受け取り設計のコツ — 海上アングラー,/column/travel/fish-shipping-guide,google / organic,18,14,0.5555555555555556,39.44444444444444,0,18,14,0.5555555555555556,39.44444444444444,0
【9月】シルバーウィーク釣行計画：混雑を避ける穴場釣り堀と予約のコツ — 海上アングラー,/column/travel/september-silver-week-quiet-spots-guide,google / organic,17,17,0.7647058823529411,23.058823529411764,0,17,17,0.7647058823529411,23.058823529411764,0
"【福井県】ひるが海上釣堀｜11,000円・三方五湖・日向湖で高級魚を狙う人気釣り堀 — 海上アングラー",/fishing-facility/hiruga-sea-fishing-pond,bing / organic,17,15,0.9411764705882353,49.705882352941174,0,17,15,0.9411764705882353,49.705882352941174,0
【静岡県】海上釣り堀 太公望｜釣ってその場で食べる！網代港の究極体験 — 海上アングラー,/fishing-facility/kaijo-tsuribori-taikoubou,bing / organic,17,15,0.8235294117647058,77.82352941176471,0,17,15,0.8235294117647058,77.82352941176471,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,bing / organic,17,13,0.8235294117647058,14.529411764705882,0,17,13,0.8235294117647058,14.529411764705882,0
