# ----------------------------------------
# kaijo-fishing.com
# Google オーガニック検索レポート: ランディング ページ + クエリ文字列-タブ: 3
# 20260530-20260606
# ----------------------------------------

ランディング ページ + クエリ文字列,Google のオーガニック検索のクリック数,Google のオーガニック検索の表示回数,Google のオーガニック検索のクリック率,Google のオーガニック検索の平均掲載順位,アクティブ ユーザー,エンゲージのあったセッション数,エンゲージメント率,イベント数,キーイベント
,97,2428,0.039950576606260293,11.306013179571664,140,106,0.6928104575163399,623,0,総計
/blog/himeji-city-fishing-center,11,143,0.07692307692307693,5.34965034965035,0,0,0,0,0
/blog/nanko-fishing-park/,8,184,0.043478260869565216,8.918478260869566,11,9,0.8181818181818182,43,0
/blog/sea-fishing-park-mikata/,7,87,0.08045977011494253,6.459770114942529,10,5,0.45454545454545453,38,0
/blog/kaijo-tsuribori-at-sea/,3,62,0.04838709677419355,11.387096774193548,2,3,1,10,0
/blog/shibushi-bay-daikoku-dolphin-land/,3,44,0.06818181818181818,6.090909090909091,3,1,0.3333333333333333,10,0
/blog/tactics/gear/harris-importance/,3,35,0.08571428571428572,12.285714285714286,3,3,1,13,0
/blog/umizuri-port-tajiri/,3,29,0.10344827586206896,8.689655172413794,4,3,0.75,18,0
/blog/yuharai-pond/,3,19,0.15789473684210525,9.736842105263158,6,6,1,25,0
/fishing-facility/center-japan/,3,25,0.12,10.08,3,3,1,21,0
/blog/fishing-park-sasukeya/,2,46,0.043478260869565216,9.23913043478261,2,2,1,8,0
/blog/itoman-ikada-tsurigu-no-zousan/,2,83,0.024096385542168676,8.638554216867469,6,5,0.7142857142857143,26,0
/blog/kamoike-sea-fishing-park/,2,32,0.0625,11.09375,2,1,0.5,7,0
/blog/kariyawan-fishing-center/,2,16,0.125,13.3125,2,2,1,11,0
/blog/mukai-pearl-marine/,2,44,0.045454545454545456,9.795454545454545,1,1,1,4,0
/blog/tsuri-ikada-fukaura/,2,30,0.06666666666666667,8.133333333333333,4,4,1,18,0
/blog/tsuribori-maruyo/,2,12,0.16666666666666666,8.916666666666668,2,3,1,13,0
/tactics/fish-strategy/isaki/gourmet,2,54,0.037037037037037035,10.444444444444445,0,0,0,0,0
/,1,5,0.2,8.6,1,1,1,5,0
/blog/hook-size-science,1,3,0.3333333333333333,8.666666666666668,0,0,0,0,0
/blog/jumbo-fishing-mura/,1,6,0.16666666666666666,7,1,1,1,4,0
/blog/kaijo-tsuribori-kaiyu/,1,8,0.125,16.625,2,2,1,8,0
/blog/kashikojima-fishing-park-kaiyuen/,1,8,0.125,7,1,1,1,4,0
/blog/maizuru-shinkai-park/,1,38,0.02631578947368421,13.157894736842104,1,1,1,4,0
/blog/naoshima-fishing-park/,1,5,0.2,11.6,1,1,1,4,0
/blog/obama-city-fishing-coop-raft/,1,20,0.05,19.45,1,1,1,4,0
/blog/raft-fishing-takahashi/,1,4,0.25,6.75,1,1,1,6,0
/blog/seapark-nyu/,1,17,0.058823529411764705,14.882352941176471,2,1,0.25,11,0
/blog/tactics/beginner/bait-guide,1,1,1,14,0,0,0,0,0
/blog/tactics/gear/safety-gear-guide/,1,2,0.5,12,1,0,0,4,0
/blog/tactics/gear/uki-setup/,1,10,0.1,19.7,0,0,0,0,0
/blog/takashima-tobishima-isotsuri-park/,1,27,0.037037037037037035,13.777777777777779,4,2,0.5,15,0
